,City,Clouds,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind
37,Komsomolskiy,80,RU,1553123063,93,67.55,63.78,28.2,11.23
38,Hasaki,75,JP,1553121000,87,35.73,140.83,57.2,8.05
39,Baruun-Urt,0,MN,1553122958,56,46.68,113.28,13.62,10.89
40,North Battleford,1,CA,1553122135,88,52.78,-108.3,46.4,2.24
41,Hobart,75,AU,1553123054,88,-42.88,147.33,62.6,6.93
42,Atuona,32,PF,1553123064,99,-9.8,-139.03,82.74,15.7
43,Pochutla,20,MX,1553121974,66,15.74,-96.47,87.01,9.17
44,Hamilton,90,BM,1553122936,88,32.3,-64.78,62.6,24.16
45,Nancha,76,CN,1553123064,69,47.14,129.26,21.72,5.19
46,Carnarvon,0,AU,1553119200,83,-24.87,113.63,73.4,12.75
47,Shellbrook,20,CA,1553119200,90,53.22,-106.39,46.4,6.93
48,Luderitz,0,NA,1553123065,75,-26.65,15.16,62.76,17.05
49,San Cristobal,92,EC,1553123066,100,-1.02,-79.44,63.75,1.95
50,Constitucion,75,MX,1553122815,10,23.99,-104.67,72.0,5.82
51,Ribeira Grande,0,PT,1553123066,100,38.52,-28.7,59.79,9.66
52,Hofn,8,IS,1553123066,100,64.25,-15.21,36.39,24.43
53,Butaritari,80,KI,1553122856,100,3.07,172.79,81.75,6.98
54,Meadow Lake,20,CA,1553119200,46,54.13,-108.44,50.0,10.29
55,Torbay,75,CA,1553123019,53,47.66,-52.73,26.01,17.22
56,Upernavik,0,GL,1553123067,100,72.79,-56.15,-14.91,10.22
57,Bredasdorp,0,ZA,1553122836,77,-34.53,20.04,59.0,5.82
58,Tigil,88,RU,1553123067,87,57.8,158.67,11.37,8.77
59,Whitehorse,75,CA,1553122812,39,60.72,-135.06,55.0,16.11
60,Portland,80,AU,1553122932,87,-33.35,149.98,68.0,2.84
61,Roma,0,AU,1553123068,47,-26.57,148.79,84.45,4.52
62,Quatre Cocos,40,MU,1553123041,83,-20.21,57.76,80.6,8.05
63,Cabo San Lucas,5,MX,1553122940,27,22.89,-109.91,82.99,16.11
64,Dikson,44,RU,1553122854,91,73.51,80.55,18.75,14.81
65,Hilo,90,US,1553122766,60,19.71,-155.08,75.2,6.93
66,Mpongwe,48,ZM,1553123069,50,-13.51,28.16,71.49,5.64
67,Souillac,40,MU,1553123041,83,-20.52,57.52,80.6,8.05
68,Maneadero,76,MX,1553123058,76,31.72,-116.57,64.99,10.0
69,East London,88,ZA,1553123070,100,-33.02,27.91,69.69,11.9
70,Lorengau,48,PG,1553123070,100,-2.02,147.27,82.65,8.99
71,Atambua,0,ID,1553123070,98,-9.11,124.89,82.02,0.83
72,Eresos,0,GR,1553122929,70,39.17,25.93,53.01,1.99
73,Nabire,0,ID,1553123071,76,-3.36,135.5,77.52,1.72
74,Margate,100,ZA,1553123072,100,-30.86,30.37,72.48,10.56
75,Vaini,48,TO,1553123072,100,-21.2,-175.2,80.76,12.24
76,Murdochville,48,CA,1553123072,64,48.96,-65.49,31.62,11.45
77,Finschhafen,44,PG,1553123072,84,-6.6,147.85,79.14,2.62
78,Mackenzie,1,CA,1553119200,34,55.34,-123.09,51.8,4.7
79,Opuwo,64,NA,1553123073,29,-18.06,13.84,79.77,7.43
80,Point Pedro,0,LK,1553123073,100,9.82,80.23,79.68,10.78
81,Provideniya,0,RU,1553119200,46,64.42,-173.23,10.4,4.47
82,Meulaboh,92,ID,1553123074,100,4.14,96.13,78.51,3.06
83,Jati,40,ID,1553117400,83,3.58,98.66,78.8,4.7
84,Fereydun Kenar,90,IR,1553119200,93,36.69,52.52,46.4,6.93
85,Vardo,75,NO,1553122200,86,70.37,31.11,30.2,9.17
86,Chokurdakh,0,RU,1553122905,47,70.62,147.9,-15.99,9.1
87,Kameyama,75,JP,1553122992,87,34.86,136.45,59.0,13.87
88,Geraldton,40,AU,1553119200,88,-28.77,114.6,64.4,2.17
89,Sitka,0,US,1553122040,19,37.17,-99.65,64.0,13.0
90,Vostok,92,RU,1553122878,82,46.45,135.83,28.47,3.62
91,Sturgeon Falls,90,CA,1553122816,74,46.36,-79.93,39.0,9.17
92,Vanavara,24,RU,1553123076,81,60.35,102.28,12.72,5.19
93,Correntina,0,BR,1553123077,88,-13.34,-44.63,75.72,7.65
94,Esperance,80,AU,1553119200,82,-33.86,121.89,66.2,8.05
95,Darnah,0,LY,1553123077,96,32.77,22.64,62.22,14.25
96,Mweka,56,CD,1553122997,95,-4.85,21.56,72.21,2.39
97,Clyde River,75,CA,1553119200,75,70.47,-68.59,-20.21,10.29
98,Mahebourg,40,MU,1553122743,83,-20.41,57.7,80.6,8.05
99,Tessalit,8,ML,1553123078,21,20.2,1.01,57.72,3.51
100,Rocha,8,UY,1553123078,67,-34.48,-54.34,56.37,8.66
101,Cape Town,0,ZA,1553122864,63,-33.93,18.42,60.8,12.75
102,Kolga,0,EE,1553122925,93,59.49,25.62,37.0,11.41
103,Porto Velho,40,BR,1553119200,74,-8.75,-63.87,86.0,2.24
104,Thompson,75,CA,1553119200,45,55.74,-97.86,48.2,16.11
105,Taksimo,24,RU,1553123079,65,56.36,114.84,8.22,2.51
106,Beloha,80,MG,1553122880,90,-25.17,45.06,74.01,3.29
107,Victoria,75,SC,1553119200,78,-4.62,55.45,82.4,8.05
108,Barrow,75,US,1553123066,62,39.51,-90.4,53.01,9.17
109,Sao Joao da Barra,75,BR,1553119200,83,-21.64,-41.05,78.8,9.17
110,Bethel,90,US,1553122560,73,60.79,-161.76,21.2,24.16
111,Ancud,92,CL,1553119200,71,-41.87,-73.83,53.6,5.82
112,Kavieng,56,PG,1553123082,98,-2.57,150.8,84.9,5.97
113,Estelle,20,US,1553122949,32,32.87,-97.01,66.99,13.87
114,Borba,68,BR,1553122827,97,-4.39,-59.59,75.27,2.62
115,Suntar,36,RU,1553123083,69,62.16,117.65,-1.59,2.51
116,Mount Gambier,90,AU,1553121000,93,-37.83,140.78,62.6,13.87
117,Zhaotong,56,CN,1553123083,100,27.34,103.71,41.34,2.62
118,Santa Cruz de la Palma,36,ES,1553122810,68,28.68,-17.76,64.4,14.99
119,Lanzhou,0,CN,1553119200,39,36.06,103.82,28.4,2.51
120,Tiksi,76,RU,1553122865,72,71.64,128.87,-2.76,20.07
121,Port Alfred,56,ZA,1553122908,89,-33.59,26.89,66.0,1.99
122,Khatanga,68,RU,1553122897,81,71.98,102.47,13.44,10.45
123,Kawalu,8,ID,1553123084,93,-7.38,108.21,67.44,2.73
124,Ostrovnoy,0,RU,1553123084,84,68.05,39.51,13.62,10.11
125,Jinxiang,0,CN,1553122620,42,35.07,116.31,55.0,3.0
126,Touros,20,BR,1553119200,83,-5.2,-35.46,82.4,6.93
127,Yar-Sale,0,RU,1553123085,77,66.83,70.83,17.49,11.79
128,Umm Kaddadah,8,SD,1553122913,21,13.6,26.69,63.93,8.32
129,Husavik,75,IS,1553119200,46,66.04,-17.34,28.4,23.04
130,Viedma,0,AR,1553123085,68,-40.81,-62.99,53.58,4.07
131,Kapaa,20,US,1553123002,61,22.08,-159.32,80.6,12.75
132,Waipawa,32,NZ,1553121496,73,-39.94,176.59,66.0,5.01
133,Morropon,88,PE,1553123086,100,-5.18,-79.97,66.54,1.95
134,Tasiilaq,0,GL,1553122898,100,65.61,-37.64,4.8,10.22
135,Bluff,80,NZ,1553122808,97,-46.6,168.33,60.01,0.94
136,Arroio Grande,0,BR,1553123087,97,-32.24,-53.09,66.0,17.38
137,Cockburn Town,20,BS,1553123087,100,24.03,-74.52,75.27,8.88
138,Thinadhoo,76,MV,1553123087,100,0.53,72.93,84.72,6.42
139,Gidam,0,IN,1553122810,98,18.98,81.4,62.49,2.95
140,Puerto Quijarro,75,BO,1553122800,94,-19.0,-57.72,77.0,6.93
141,Igrim,32,RU,1553123088,90,63.19,64.42,26.31,5.64
142,Faratsiho,48,MG,1553123088,95,-19.41,46.95,59.79,2.73
143,Hami,0,CN,1553123088,60,42.84,93.51,24.51,5.64
144,Moranbah,0,AU,1553123089,84,-22.0,148.04,80.31,5.19
145,Port Lincoln,68,AU,1553123089,87,-34.72,135.86,67.53,14.36
146,Hithadhoo,12,MV,1553123089,100,-0.6,73.08,84.45,4.29
147,Puerto Leguizamo,20,CO,1553122845,88,-0.19,-74.78,78.51,1.72
148,Tuktoyaktuk,40,CA,1553119200,78,69.44,-133.03,8.6,5.82
149,Harer,0,ET,1553123090,70,9.31,42.13,55.83,2.39
150,Kashi,75,CN,1553119200,24,39.45,75.98,46.4,6.71
151,Honiara,68,SB,1553123090,83,-9.43,159.96,82.47,2.73
152,Tuatapere,68,NZ,1553122808,97,-46.13,167.69,60.01,2.84
153,Nikolskoye,75,RU,1553122845,96,59.7,30.79,34.0,6.71
154,Dunedin,0,NZ,1553122772,85,-45.87,170.5,62.01,11.01
155,Ylivieska,0,FI,1553122812,92,64.07,24.53,28.0,1.99
156,Nishihara,75,JP,1553123038,62,35.74,139.53,63.0,6.93
157,Christiana,8,ZA,1553123091,48,-27.91,25.16,58.26,4.74
158,Ambilobe,20,MG,1553123092,93,-13.19,49.05,71.49,2.62
159,Alexandria,90,US,1553122811,34,38.81,-77.05,52.0,9.17
160,Ocampo,0,MX,1553123092,34,27.32,-102.4,66.27,10.0
161,Tautira,40,PF,1553122991,66,-17.73,-149.15,87.8,3.36
162,Sobolevo,76,RU,1553123093,86,54.43,31.9,31.26,12.68
163,Dingle,92,IE,1553123093,92,52.14,-10.27,50.88,16.15
164,Coquimbo,0,CL,1553119200,72,-29.95,-71.34,60.8,12.75
165,Tacna,75,PE,1553119200,56,-18.01,-70.25,73.4,10.29
166,Batagay-Alyta,0,RU,1553122894,56,67.8,130.41,-21.03,4.18
167,Bathsheba,0,BB,1553119200,65,13.22,-59.52,78.8,11.41
168,Fort Nelson,20,CA,1553119200,24,58.81,-122.69,59.0,2.24
169,Kantang,20,TH,1553123094,100,7.42,99.52,79.05,5.41
170,Pechora,80,RU,1553123094,92,65.12,57.16,31.71,6.42
171,Rio Gallegos,0,AR,1553119200,48,-51.62,-69.22,60.8,13.87
172,Puerto Ayora,20,EC,1553122890,69,-0.74,-90.35,82.99,8.05
173,Onega,64,RU,1553123095,89,63.91,38.09,27.3,6.42
174,Leningradskiy,68,RU,1553123095,93,69.38,178.42,-1.59,23.98
175,Xuanwu,80,CN,1553123087,100,32.07,118.81,66.99,2.24
176,Kandrian,0,PG,1553123096,77,-6.21,149.55,85.35,3.4
177,Mangrol,0,IN,1553123096,54,25.33,76.51,57.72,5.97
178,Faanui,0,PF,1553123096,100,-16.48,-151.75,84.81,3.06
179,Beisfjord,88,NO,1553122947,86,68.38,17.6,39.0,21.92
180,Gandajika,32,CD,1553123097,94,-6.75,23.95,71.13,2.73
181,Santiago del Estero,88,AR,1553123097,66,-27.8,-64.26,64.11,4.85
182,Semporna,75,MY,1553119200,94,4.48,118.61,75.2,3.36
183,Gayny,76,RU,1553123097,91,60.3,54.33,30.36,5.97
184,Karasburg,0,NA,1553123098,70,-28.01,18.75,54.39,2.84
185,Puerto Escondido,20,MX,1553121900,66,15.86,-97.07,86.0,9.17
186,Juneau,90,US,1553118960,57,58.3,-134.42,57.2,3.36
187,Cururupu,8,BR,1553123050,92,-1.82,-44.87,77.97,4.63
188,Hudson Bay,0,CA,1553123098,74,52.86,-102.4,42.96,7.2
189,Bom Jesus,44,BR,1553123099,92,-9.08,-44.36,75.72,3.62
190,Nantucket,1,US,1553122912,64,41.28,-70.1,41.0,9.17
191,Iracoubo,100,GF,1553123099,78,5.48,-53.21,78.69,5.41
192,Rio Pardo de Minas,64,BR,1553123100,96,-15.62,-42.55,68.07,2.17
193,Chuy,8,UY,1553123100,79,-33.69,-53.46,60.96,13.91
194,Visnes,75,NO,1553122924,93,59.36,5.22,48.99,12.75
195,Saint George,90,BM,1553122936,88,32.38,-64.68,62.6,24.16
196,Yarmouth,20,CA,1553122760,43,43.84,-66.12,33.8,9.17
197,Samarai,36,PG,1553122913,100,-10.62,150.67,83.37,11.9
198,Fort Frances,90,CA,1553122817,64,48.61,-93.4,39.2,9.17
199,Kodiak,1,US,1553122841,17,39.95,-94.76,59.0,16.11
200,Puerto del Rosario,20,ES,1553121000,77,28.5,-13.86,64.4,17.22
201,Nouadhibou,36,MR,1553119200,82,20.93,-17.03,64.4,14.99
202,Emerald,0,AU,1553122461,78,-23.53,148.16,79.0,8.05
203,Abancay,56,PE,1553123102,92,-13.64,-72.88,45.84,1.72
204,Nuuk,75,GL,1553118600,60,64.17,-51.74,6.8,4.7
205,Forestville,75,CA,1553119200,44,48.74,-69.09,39.2,14.99
206,Yabrud,0,SY,1553122800,37,33.97,36.66,51.8,9.17
207,Mayo,90,CA,1553119200,49,63.59,-135.9,48.2,11.41
208,Pizarro,8,CO,1553122885,87,4.95,-77.37,79.14,6.98
209,Saint-Augustin,75,CA,1553123058,48,45.63,-73.98,42.8,6.93
210,Santa Maria,75,CV,1553119200,73,16.6,-22.9,69.8,14.99
211,Henties Bay,8,NA,1553122930,95,-22.12,14.28,59.0,3.0
212,Sioux Lookout,90,CA,1553119200,69,50.1,-91.92,37.4,6.93
213,Dolores,20,GT,1553119200,46,16.51,-89.42,89.6,4.7
214,Novoshakhtinsk,0,RU,1553119200,74,47.76,39.94,32.0,2.24
215,San Pedro de Tutule,20,HN,1553119080,40,14.25,-87.86,86.0,21.92
216,Pacific Grove,20,US,1553122851,55,36.62,-121.92,63.0,4.7
217,Vila Velha,40,BR,1553122882,78,-3.71,-38.6,82.4,3.36
218,Grindavik,75,IS,1553122897,68,63.84,-22.43,32.0,33.33
219,Varna,75,BG,1553121000,66,43.22,27.9,50.0,6.93
220,Kavaratti,0,IN,1553123107,100,10.57,72.64,82.38,3.96
221,Huarmey,76,PE,1553123107,67,-10.07,-78.15,71.85,3.74
222,Tutoia,40,BR,1553118300,65,-2.76,-42.27,82.4,9.17
223,Mosquera,75,CO,1553119200,82,4.71,-74.23,59.0,3.36
224,Hervey Bay,32,AU,1553122809,74,-25.3,152.85,90.0,6.93
225,Inuvik,75,CA,1553119200,57,68.36,-133.71,21.2,10.29
226,Sayyan,0,YE,1553122858,81,15.17,44.32,44.22,1.39
227,Novoagansk,48,RU,1553123109,78,61.94,76.66,25.95,9.33
228,Manta,75,EC,1553119200,66,-0.95,-80.73,87.8,10.29
229,Trincomalee,8,LK,1553123109,90,8.58,81.23,71.04,4.18
230,Susaki,75,JP,1553122902,87,33.42,133.28,60.8,10.29
231,Norman Wells,75,CA,1553119200,59,65.28,-126.83,35.6,9.17
232,Mount Isa,0,AU,1553119200,54,-20.73,139.49,82.4,5.82
233,Sorland,32,NO,1553122924,94,67.67,12.69,40.8,26.11
234,Sorong,0,ID,1553122979,100,-0.86,131.25,82.29,3.62
235,Moree,0,AU,1553122849,57,-29.46,149.84,79.0,14.99
236,Baykit,80,RU,1553123110,69,61.68,96.39,12.45,2.62
237,Merauke,92,ID,1553123111,89,-8.49,140.4,82.74,17.38
238,Kaeo,92,NZ,1553122988,78,-35.1,173.78,71.01,11.01
239,Dalby,20,AU,1553122822,83,-27.18,151.26,87.01,12.75
240,Ponta do Sol,75,CV,1553119200,68,17.2,-25.09,69.8,25.28
241,Hegang,88,CN,1553123112,74,47.34,130.28,23.16,7.99
242,Praya,40,ID,1553121000,100,-8.71,116.27,75.2,1.12
243,Irbeyskoye,80,RU,1553123112,84,55.64,95.45,20.46,8.1
244,Hokitika,68,NZ,1553123112,99,-42.72,170.96,64.2,3.96
245,Cayenne,75,GF,1553121000,74,4.94,-52.33,80.6,6.93
246,Lowestoft,12,GB,1553123066,87,52.48,1.75,48.99,6.93
247,Garoua,0,CM,1553123113,57,9.31,13.39,73.2,2.62
248,Omsukchan,36,RU,1553123114,67,62.53,155.8,-11.04,3.74
249,Zaysan,32,KZ,1553123114,73,47.47,84.87,11.46,2.06
250,Fairmont,20,US,1553122834,62,40.64,-97.59,57.99,18.34
251,Cidreira,88,BR,1553123115,95,-30.17,-50.22,65.37,15.03
252,Karratha,8,AU,1553123115,52,-20.74,116.85,84.99,4.63
253,Okhotsk,0,RU,1553123115,79,59.36,143.24,12.36,3.4
254,Adrar,0,DZ,1553119200,34,27.87,-0.29,62.6,13.87
255,Guarapari,75,BR,1553123065,78,-20.67,-40.5,82.4,10.29
256,Kalmunai,24,LK,1553123116,96,7.42,81.82,70.14,3.4
257,Charlestown,20,KN,1553122875,69,17.13,-62.62,78.8,9.17
258,Lavrentiya,0,RU,1553122961,100,65.58,-170.99,1.02,16.49
259,Sumbawanga,75,TZ,1553119200,88,-7.95,31.62,62.6,4.74
260,Touba,0,CI,1553123117,91,8.28,-7.68,70.59,2.62
261,Machakos,0,KE,1553121000,72,-1.52,37.27,66.2,6.93
262,Ronne,88,DK,1553122200,100,55.1,14.71,41.0,8.05
263,Udachnyy,0,RU,1553123117,49,66.42,112.4,-9.78,2.39
264,Lalmohan,0,BD,1553123117,88,22.34,90.74,71.58,2.73
265,Seoul,90,KR,1553122680,93,37.57,126.98,48.2,2.24
266,Constantine,75,DZ,1553121000,93,36.36,6.61,41.0,12.75
267,Bonavista,24,CA,1553122842,62,48.65,-53.11,26.01,8.99
268,Naerbo,75,NO,1553123102,93,58.67,5.65,46.99,12.75
269,Sahuaripa,0,MX,1553123119,35,29.05,-109.23,72.12,2.06
270,Saint-Philippe,0,RE,1553122898,69,-21.36,55.77,80.6,8.05
271,San Carlos de Bariloche,0,AR,1553122800,28,-41.13,-71.31,59.0,4.7
272,Redmond,1,US,1553123111,21,47.67,-122.12,79.0,9.17
273,Neiafu,64,TO,1553123120,100,-18.65,-173.98,81.84,11.23
274,Yalova,0,TR,1553120400,87,40.66,29.27,48.2,6.93
275,Katherine,8,AU,1553119200,83,-14.47,132.26,78.8,4.7
276,Inver Grove Heights,90,US,1553123004,52,44.85,-93.04,44.6,16.11
277,Belmonte,24,BR,1553122965,99,-26.84,-53.58,68.0,12.12
278,Yerbogachen,48,RU,1553123121,76,61.28,108.01,6.69,2.73
279,Auki,88,SB,1553123122,100,-8.77,160.7,81.84,4.63
280,Khandyga,0,RU,1553123122,54,62.65,135.58,-5.01,2.73
281,Sisimiut,20,GL,1553123122,52,66.94,-53.67,-19.23,1.95
282,Gigmoto,56,PH,1553123122,99,13.78,124.39,78.51,9.22
283,Buraydah,20,SA,1553119200,42,26.33,43.97,68.0,6.93
284,Fomboni,8,KM,1553123123,100,-12.28,43.74,83.55,2.73
285,Sayat,75,TM,1553119200,93,38.78,63.88,46.4,4.7
286,Orgovany,0,HU,1553123115,50,46.75,19.47,39.0,2.95
287,Dalaba,64,GN,1553123124,48,10.69,-12.25,76.89,4.41
288,Daru,0,PG,1553123124,80,-9.07,143.21,86.52,15.37
289,Koumac,48,NC,1553123124,76,-20.56,164.28,83.1,8.77
290,Kahului,40,US,1553123030,61,20.89,-156.47,78.8,5.82
291,Kristiansund,92,NO,1553122200,80,63.12,7.73,39.2,14.99
292,Riverton,1,US,1553122817,30,43.02,-108.38,55.4,7.43
293,Zhigansk,0,RU,1553123125,42,66.77,123.37,-13.92,3.74
294,Rondonopolis,8,BR,1553123049,91,-16.46,-54.64,76.98,0.72
295,Hun,0,LY,1553123125,58,29.13,15.95,52.59,7.76
296,Bakel,0,SN,1553123125,34,14.9,-12.46,76.26,6.2
297,Castro,92,CL,1553119200,71,-42.48,-73.76,53.6,5.82
298,Rio Claro,20,TT,1553122869,74,10.31,-61.18,82.4,11.41
299,Chabahar,20,IR,1553123126,98,25.29,60.65,71.22,11.68
300,Talaya,40,RU,1553123122,85,55.79,84.89,19.99,6.71
301,Rawlins,1,US,1553122843,47,41.79,-107.24,37.4,3.36
302,Port Hardy,20,CA,1553119200,41,50.7,-127.42,60.8,3.36
303,Tezu,92,IN,1553122989,99,27.93,96.16,49.89,1.61
304,Presidencia Roque Saenz Pena,44,AR,1553123127,62,-26.79,-60.44,67.53,13.24
305,Tanout,8,NE,1553123127,29,14.97,8.88,75.27,5.41
306,Lompoc,75,US,1553123092,76,34.64,-120.46,62.6,8.05
307,Miramar,40,MX,1553122816,12,20.64,-103.45,82.0,9.17
308,Tondano,40,ID,1553121000,94,1.3,124.91,75.2,2.24
309,Adre,0,TD,1553123129,20,13.47,22.2,72.03,12.01
310,Port Elizabeth,20,ZA,1553119200,77,-33.92,25.57,66.2,13.87
311,Ewa Beach,20,US,1553122716,44,21.32,-158.01,80.6,9.17
312,Lebu,0,CL,1553123129,96,-37.62,-73.65,54.39,19.95
313,Cap-aux-Meules,5,CA,1553119200,54,47.38,-61.86,30.2,13.87
314,Bar Harbor,1,US,1553122830,69,44.39,-68.2,37.0,13.87
315,Maniitsoq,12,GL,1553122841,100,65.42,-52.9,-5.37,17.05
316,Zlitan,12,LY,1553122872,94,32.47,14.57,54.75,15.48
317,Yining,92,CN,1553123130,98,29.04,114.56,61.41,2.62
318,Grenfell,0,CA,1553123120,58,50.41,-102.93,52.0,6.42
319,Masindi,0,UG,1553123131,77,1.69,31.72,68.79,0.49
320,Sangar,0,RU,1553122901,60,63.92,127.47,-13.38,2.73
321,Trairi,24,BR,1553123131,100,-3.28,-39.27,81.75,9.78
322,Istok,90,RU,1553119200,80,64.42,40.6,30.2,4.47
323,Verkhnevilyuysk,0,RU,1553123132,60,63.45,120.31,-7.08,2.62
324,Praia,40,CV,1553119200,73,14.92,-23.51,69.8,16.11
325,Banjar,8,ID,1553123132,94,-7.37,108.54,72.57,2.95
326,Cherskiy,48,RU,1553123132,64,68.75,161.3,-8.16,3.18
327,Yumen,0,CN,1553123133,64,40.29,97.04,16.14,2.39
328,Tomatlan,0,MX,1553122914,59,19.93,-105.25,79.32,3.74
329,San Angelo,40,US,1553123111,45,31.46,-100.44,68.0,6.93
330,Lazaro Cardenas,40,MX,1553122974,22,28.39,-105.62,77.0,6.76
331,Berezovyy,48,RU,1553123133,60,51.67,135.7,11.55,3.51
332,Sao Gabriel da Cachoeira,24,BR,1553123134,94,-0.13,-67.09,77.52,2.17
333,Booue,80,GA,1553123134,100,-0.09,11.94,72.84,2.62
334,Oriximina,44,BR,1553123134,93,-1.77,-55.87,77.97,3.85
335,Romilly-sur-Seine,0,FR,1553122871,86,48.52,3.72,42.8,5.82
336,Riyadh,0,SA,1553119200,22,24.63,46.72,66.2,8.05
337,Tommot,48,RU,1553122878,71,58.97,126.27,5.25,3.62
338,Tabuk,75,SA,1553119200,20,28.38,36.58,66.2,6.93
339,Guerrero Negro,12,MX,1553123070,73,27.97,-114.04,64.92,12.57
340,Mbandaka,44,CD,1553123135,94,0.05,18.26,76.44,3.62
341,Brae,92,GB,1553122200,93,60.4,-1.35,50.0,35.57
342,Taft,0,IR,1553119200,31,31.75,54.22,50.0,6.93
343,Kotli Loharan,0,PK,1553122800,87,32.59,74.49,57.2,4.18
344,Sakaraha,88,MG,1553123136,77,-22.91,44.53,71.85,2.84
345,Fonte Boa,20,BR,1553123137,92,-2.51,-66.09,79.14,2.62
346,Morondava,20,MG,1553123137,91,-20.3,44.28,79.77,2.17
347,Sirjan,0,IR,1553123137,60,29.44,55.67,32.7,2.17
348,Wanaka,0,NZ,1553123137,67,-44.7,169.14,66.54,2.62
349,Hiriyur,12,IN,1553123138,92,13.94,76.62,66.0,4.63
350,Port-Cartier,75,CA,1553122994,69,50.03,-66.88,33.8,14.99
351,Vilyuysk,0,RU,1553123138,63,63.75,121.63,-8.25,2.62
352,The Valley,20,AI,1553122862,69,18.22,-63.06,80.6,12.75
353,Los Llanos de Aridane,36,ES,1553122810,68,28.66,-17.92,64.4,14.99
354,Pangnirtung,5,CA,1553119200,60,66.15,-65.72,-27.41,2.24
355,Prabumulih,88,ID,1553123139,97,-3.5,104.19,73.29,3.62
356,Pisco,0,PE,1553119200,30,-13.71,-76.2,71.6,24.16
357,Haradok,92,BY,1553123140,93,55.46,29.99,34.32,16.71
358,Bam,0,IR,1553123123,73,29.11,58.36,39.18,4.41
359,Qasigiannguit,75,GL,1553118600,35,68.82,-51.19,-9.41,10.29
360,Porto Novo,75,CV,1553119200,68,17.02,-25.06,69.8,25.28
361,Karur,8,IN,1553123140,85,10.96,78.08,68.34,3.18
362,Gornopravdinsk,24,RU,1553123140,81,60.06,69.92,24.06,8.1
363,San Jeronimo,20,MX,1553123051,17,29.37,-110.79,87.01,10.0
364,Rajpipla,0,IN,1553123141,91,21.87,73.5,63.48,2.73
365,Richards Bay,76,ZA,1553123142,95,-28.77,32.06,73.56,11.45
366,Jalu,0,LY,1553123142,33,29.03,21.55,73.65,14.25
367,Bartica,0,GY,1553119200,74,6.41,-58.62,80.6,16.11
368,Brigantine,1,US,1553123138,65,39.41,-74.36,46.99,10.29
369,Nizhniy Tsasuchey,48,RU,1553123143,55,50.52,115.13,17.04,12.01
370,Pyaozerskiy,64,RU,1553123143,86,65.83,31.17,20.91,4.52
371,Mandalgovi,36,MN,1553123143,60,45.76,106.27,6.87,3.18
